dataset,model,method,seed,split_seed,model_seed,protected_attribute,privileged_group,unprivileged_group,n_train,n_val,n_test,accuracy,f1,spd,eod,disparate_impact,train_time_sec,single_pred_latency_ms,batch_256_latency_ms,implementation_loc_added,implementation_dependencies_added,implementation_hyperparams,implementation_stage,implementation_complexity_score,method_hyperparams,aif360_version,sklearn_version,notes
adult,lr,dir,42,42,42,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8529574350469873,0.6740196078431373,-0.1760171639361637,-0.08035187486661899,0.3240498094376002,0.25334119983017445,1.5558500308543444,3.569799941033125,24,1,2,preprocessing,3,"repair_level=0.25,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,repair_sweep rl=0.25
adult,lr,dir,42,42,42,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8530679933665009,0.6729017967019444,-0.17373704231927567,-0.07615900274921861,0.32602390063437287,0.41689949994906783,1.5401998534798622,3.6342500243335962,24,1,2,preprocessing,3,"repair_level=0.5,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,repair_sweep rl=0.5
adult,lr,dir,42,42,42,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8528468767274737,0.6716012830002467,-0.1700832084461794,-0.06949622767044528,0.33427687771001824,0.41359689994715154,1.7939499812200665,5.7426500134170055,24,1,2,preprocessing,3,"repair_level=0.75,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,repair_sweep rl=0.75
adult,lr,dir,42,42,42,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8537313432835821,0.6724436741767764,-0.1667823314703257,-0.06088765864497425,0.3404320492501239,0.707762099802494,1.5678999479860067,3.562049940228462,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,repair_sweep rl=1.0
adult,rf,dir,42,42,42,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8384742951907131,0.655505776939401,-0.18928001808137893,-0.07414102612385298,0.33000359976527555,2.9377744998782873,3.6157499998807907,13.051000074483454,24,1,2,preprocessing,3,"repair_level=0.25,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,repair_sweep rl=0.25
adult,rf,dir,42,42,42,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8410171365395246,0.6613283089967028,-0.19009888476988204,-0.07092418935713485,0.32904983213589617,2.1387348999269307,3.521850099787116,13.030249974690378,24,1,2,preprocessing,3,"repair_level=0.5,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,repair_sweep rl=0.5
adult,rf,dir,42,42,42,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8379215035931454,0.6545711592836946,-0.1897713380944808,-0.08065315909062376,0.3294306768490164,2.1088662000838667,3.55665001552552,14.173799892887473,24,1,2,preprocessing,3,"repair_level=0.75,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,repair_sweep rl=0.75
adult,rf,dir,42,42,42,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8340519624101713,0.6464075382803298,-0.19295926217631637,-0.09637015277620853,0.3209168559950502,2.6061739998403937,3.8828999968245625,13.84324999526143,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,repair_sweep rl=1.0
adult,lr,dir,123,123,123,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8458817025981205,0.6586679725759059,-0.18725678489143874,-0.11740041928721179,0.2920186200946595,0.3224448999390006,1.5894999960437417,3.8794500287622213,24,1,2,preprocessing,3,"repair_level=0.25,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,repair_sweep rl=0.25
adult,lr,dir,123,123,123,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8462133775566612,0.6596525568876926,-0.1852279792844281,-0.11193650434979097,0.2988208050150539,0.3730399999767542,1.6097499756142497,3.6121498560532928,24,1,2,preprocessing,3,"repair_level=0.5,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,repair_sweep rl=0.5
adult,lr,dir,123,123,123,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8456605859590934,0.6576753310446297,-0.18123389362500997,-0.11178586223778864,0.3079336119610313,0.4371503002475947,1.582349999807775,3.5513999173417687,24,1,2,preprocessing,3,"repair_level=0.75,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,repair_sweep rl=0.75
adult,lr,dir,123,123,123,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8474295190713101,0.6609336609336609,-0.17790760642731498,-0.092773572352151,0.31549852246680193,0.34754380001686513,1.6058000037446618,3.592449938878417,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,repair_sweep rl=1.0
