dataset,model,method,seed,split_seed,model_seed,protected_attribute,privileged_group,unprivileged_group,n_train,n_val,n_test,accuracy,f1,spd,eod,disparate_impact,train_time_sec,single_pred_latency_ms,batch_256_latency_ms,implementation_loc_added,implementation_dependencies_added,implementation_hyperparams,implementation_stage,implementation_complexity_score,method_hyperparams,aif360_version,sklearn_version,notes
adult,lr,dir,42,42,42,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8537313432835821,0.6724436741767764,-0.1667823314703257,-0.06088765864497425,0.3404320492501239,0.5595583999529481,1.5521000022999942,3.522000042721629,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
adult,lr,dir,43,43,43,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8500829187396352,0.663356504468719,-0.1790935282282489,-0.08805659122007559,0.299458626930373,0.4041785999434069,1.5436999965459108,3.4808500204235315,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
adult,lr,dir,44,44,44,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8475400773908237,0.6620926243567753,-0.17920508801799934,-0.08184574247730958,0.31482387762185093,0.3644161999691278,1.5342499245889485,3.5105000133626163,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
adult,lr,dir,45,45,45,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8483139856274184,0.6627335299901671,-0.1916927632245438,-0.16119019821991237,0.27434841150089007,0.38704090006649494,1.5641999780200422,3.5217999829910696,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
adult,lr,dir,46,46,46,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8507462686567164,0.6676514032496307,-0.18163767096593503,-0.10909313448574554,0.30202667154310936,0.3528290999820456,1.5712499734945595,4.908100003376603,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
adult,lr,dir,47,47,47,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8499723604201216,0.6666666666666666,-0.18764785712144316,-0.09554475953752872,0.2870082043661905,0.3853951001074165,1.5729499864391983,3.5107500152662396,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
adult,lr,dir,48,48,48,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8489773355444997,0.6630488406512087,-0.18738383600064507,-0.12743067324470558,0.28265473189972495,0.351663599954918,1.5712499734945595,3.556050010956824,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
adult,lr,dir,49,49,49,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8442233278054173,0.6545721990683991,-0.17282923985432808,-0.0734599982425087,0.33335733509126514,0.427259000018239,1.5647499240003526,3.5184500156901777,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
adult,lr,dir,50,50,50,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.843338861249309,0.6531211750305997,-0.18137225674086935,-0.08700837319072552,0.30956421467596745,0.40211850008927286,1.9675999647006392,3.99525003740564,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
adult,lr,dir,51,51,51,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.85085682697623,0.6661717396683989,-0.17164610426192944,-0.0757070764132114,0.32599928448659726,0.6599961000028998,1.6040499904192984,3.93359997542575,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
