dataset,model,method,seed,split_seed,model_seed,protected_attribute,privileged_group,unprivileged_group,n_train,n_val,n_test,accuracy,f1,spd,eod,disparate_impact,train_time_sec,single_pred_latency_ms,batch_256_latency_ms,implementation_loc_added,implementation_dependencies_added,implementation_hyperparams,implementation_stage,implementation_complexity_score,method_hyperparams,aif360_version,sklearn_version,notes
adult,lr,baseline,42,42,42,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8528468767274737,0.6735344616139318,-0.1750218187990393,-0.0828217778279918,0.3261770330473302,0.1055551000172272,0.0482000177726149,0.110599969048053,0,0,0,none,1,,0.6.1,1.5.2,
adult,lr,baseline,123,123,123,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.844776119402985,0.657393850658858,-0.1875335111231574,-0.1078942743443929,0.295335619127385,0.1041024000151082,0.0429999781772494,0.1834499998949468,0,0,0,none,1,,0.6.1,1.5.2,
adult,lr,baseline,256,256,256,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8478717523493643,0.6625796959293772,-0.18728219511328,-0.1205450733752621,0.2901644423577357,0.1040880000218749,0.0431999797001481,0.2360499929636716,0,0,0,none,1,,0.6.1,1.5.2,
adult,lr,baseline,789,789,789,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8449972360420122,0.6598738476467734,-0.1874318702357923,-0.086562723609385,0.3025843999635904,0.0986328000435605,0.0487000215798616,0.1772499526850879,0,0,0,none,1,,0.6.1,1.5.2,
adult,lr,baseline,1024,1024,1024,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.844776119402985,0.6512667660208644,-0.1812861071729601,-0.089026349816091,0.2922423462927784,0.1120293999556452,0.0431999797001481,0.1869500265456736,0,0,0,none,1,,0.6.1,1.5.2,
adult,lr,baseline,2048,2048,2048,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8489773355444997,0.6663409868099658,-0.1813341414081074,-0.0745866757051934,0.3122818214671403,0.0953114000149071,0.0436999835073947,0.2384000108577311,0,0,0,none,1,,0.6.1,1.5.2,
adult,lr,baseline,4096,4096,4096,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8505251520176893,0.6671590349581487,-0.18667792220616,-0.1156052674525163,0.2871448449088097,0.0936055000638589,0.0426999758929014,0.1778000150807202,0,0,0,none,1,,0.6.1,1.5.2,
adult,lr,baseline,8192,8192,8192,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8487562189054726,0.6655256723716382,-0.1988239525221149,-0.1398586474849044,0.2606461302679452,0.1075595000293105,0.0430999789386987,0.3310499596409499,0,0,0,none,1,,0.6.1,1.5.2,
adult,lr,baseline,16384,16384,16384,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8489773355444997,0.6635467980295566,-0.1803020740424887,-0.0867855484000551,0.3054104327423113,0.099731000023894,0.0440999865531921,0.1629000180400908,0,0,0,none,1,,0.6.1,1.5.2,
adult,lr,baseline,32768,32768,32768,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8490878938640133,0.6678023850085179,-0.1898390429618867,-0.1174788787205463,0.2919015294286617,0.1062802999513223,0.0436000991612672,0.242949987296015,0,0,0,none,1,,0.6.1,1.5.2,
adult,lr,reweighing,42,42,42,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8456605859590934,0.6469398077895802,-0.0797779547825102,0.1458686400783339,0.6292814369086701,0.0925888000056147,0.0429000938311219,0.1260999706573784,6,0,0,preprocessing,2,,0.6.1,1.5.2,
adult,lr,reweighing,123,123,123,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8400221116639027,0.6359748427672955,-0.0817051195021558,0.1572483962891826,0.6254568621019795,0.0886703999713063,0.0432000961154699,0.2459000097587704,6,0,0,preprocessing,2,,0.6.1,1.5.2,
adult,lr,reweighing,256,256,256,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8351575456053068,0.622818112825702,-0.0851584578090571,0.118254057921892,0.6072677164787743,0.1024691000347957,0.0431000953540205,0.2599000581540167,6,0,0,preprocessing,2,,0.6.1,1.5.2,
adult,lr,reweighing,789,789,789,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8379215035931454,0.6314731020613373,-0.0953010927398426,0.1368144214715223,0.572440505312653,0.1024323999881744,0.0426999758929014,0.3106499789282679,6,0,0,preprocessing,2,,0.6.1,1.5.2,
adult,lr,reweighing,1024,1024,1024,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8375898286346047,0.624392738430069,-0.0813041283697659,0.1762669629294869,0.614562882122833,0.1421965999761596,0.0668499851599335,0.2546500763855874,6,0,0,preprocessing,2,,0.6.1,1.5.2,
adult,lr,reweighing,2048,2048,2048,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8423438363736871,0.6378872524123921,-0.0832058828675702,0.1790318733601977,0.6121716635195541,0.13957230001688,0.0510000390931963,0.1216499949805438,6,0,0,preprocessing,2,,0.6.1,1.5.2,
adult,lr,reweighing,4096,4096,4096,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8424543946932007,0.6398786959818044,-0.0797652496715896,0.1632364202412785,0.6299037883778676,0.0793139999732375,0.0433999812230467,0.2495499211363494,6,0,0,preprocessing,2,,0.6.1,1.5.2,
adult,lr,reweighing,8192,8192,8192,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8448866777224986,0.6438182279766438,-0.0979863848019234,0.1481157182490364,0.5535038316413848,0.1025428998982533,0.0434999819844961,0.1526500564068555,6,0,0,preprocessing,2,,0.6.1,1.5.2,
adult,lr,reweighing,16384,16384,16384,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8428966279712549,0.6381461675579323,-0.0844285268969984,0.1594954744598853,0.6049650687869176,0.0896216999972239,0.0430999789386987,0.1570499734953045,6,0,0,preprocessing,2,,0.6.1,1.5.2,
adult,lr,reweighing,32768,32768,32768,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8466556108347153,0.6500126167045168,-0.0968766936665133,0.1341154169648125,0.5631247477638622,0.0972204999998211,0.0482999603264033,0.1425500377081334,6,0,0,preprocessing,2,,0.6.1,1.5.2,
adult,lr,dir,42,42,42,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8519624101713654,0.6712496931009084,-0.1683184239599668,-0.0480140348234348,0.3453807027391352,0.1131474999710917,0.2105501416068624,41.74503175928924,18,1,1,preprocessing,3,repair_level=1.0,0.6.1,1.5.2,
adult,lr,dir,123,123,123,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8456605859590934,0.6575073601570167,-0.1793942715775412,-0.0971892692602217,0.3128096472694687,0.0917728999629616,0.192391845040605,38.46371731754012,18,1,1,preprocessing,3,repair_level=1.0,0.6.1,1.5.2,
adult,lr,dir,256,256,256,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8462133775566612,0.658482690891235,-0.1783989264404168,-0.0941952572841737,0.3149032422357324,0.0944544000085443,0.1688527448631615,31.33779970438693,18,1,1,preprocessing,3,repair_level=1.0,0.6.1,1.5.2,
adult,lr,dir,789,789,789,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8451077943615257,0.6600339723368115,-0.1797077200377542,-0.0619358766743243,0.3247413301227523,0.0908301000017672,0.1673597920579986,32.04596173948211,18,1,1,preprocessing,3,repair_level=1.0,0.6.1,1.5.2,
adult,lr,dir,1024,1024,1024,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.845992260917634,0.6530510585305106,-0.1724282487219382,-0.0679176238717532,0.3158889625106205,0.099065399961546,0.2611815885994576,50.27557761085014,18,1,1,preprocessing,3,repair_level=1.0,0.6.1,1.5.2,
adult,lr,dir,2048,2048,2048,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8497512437810946,0.6673194614443084,-0.1712917542604193,-0.0388813567832887,0.3397048917208836,0.1481786000076681,0.2722123993956002,49.8648201721411,18,1,1,preprocessing,3,repair_level=1.0,0.6.1,1.5.2,
adult,lr,dir,4096,4096,4096,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8493090105030403,0.6628741033885729,-0.1775179273015782,-0.0866349062880528,0.3087216427911756,0.0798030999721959,0.1685963812774361,32.245877866050435,18,1,1,preprocessing,3,repair_level=1.0,0.6.1,1.5.2,
adult,lr,dir,8192,8192,8192,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8477611940298507,0.6609209554296971,-0.1870181739924819,-0.1158280922431865,0.2858455469680459,0.0927184000611305,0.1939185480562265,37.27867219812705,18,1,1,preprocessing,3,repair_level=1.0,0.6.1,1.5.2,
adult,lr,dir,16384,16384,16384,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8487562189054726,0.6598707110890104,-0.1700464862176851,-0.0587127631529393,0.3253386323293142,0.1231052000075578,0.2221974913635063,38.11833312894044,18,1,1,preprocessing,3,repair_level=1.0,0.6.1,1.5.2,
adult,lr,dir,32768,32768,32768,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8489773355444997,0.666177908113392,-0.1830226952287962,-0.095171292634856,0.3067390961122645,0.1007831000024452,0.1735659574179207,33.39388841229444,18,1,1,preprocessing,3,repair_level=1.0,0.6.1,1.5.2,
adult,lr,eqodds,42,42,42,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8259812050856827,0.6261282660332541,-0.086926195676317,-0.0082602091414655,0.6463881740175939,0.1122317999834194,0.117399962618947,0.5947999889031053,22,0,0,postprocessing,3,fit_on=validation,0.6.1,1.5.2,
adult,lr,eqodds,123,123,123,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8202321724709785,0.6236111111111111,-0.1039332125753404,-0.0762311854278864,0.6055834704878628,0.1185712998267263,0.1306000049225986,0.5877999938093126,22,0,0,postprocessing,3,fit_on=validation,0.6.1,1.5.2,
adult,lr,eqodds,256,256,256,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8177998894416805,0.6001940805434255,-0.0866268454312922,0.0025295321307071,0.6329330199837123,0.1085967000108212,0.1355500426143407,0.3581499913707375,22,0,0,postprocessing,3,fit_on=validation,0.6.1,1.5.2,
adult,lr,eqodds,789,789,789,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.81934770591487,0.607022607022607,-0.0980669619527621,0.0175717746896144,0.5975827488685714,0.1075381998671218,0.1301000593230128,0.3932500258088112,22,0,0,postprocessing,3,fit_on=validation,0.6.1,1.5.2,
adult,lr,eqodds,1024,1024,1024,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8181315644002212,0.5917101017622238,-0.0885327792418994,0.0155600748189156,0.6088414254334025,0.1393962999572977,0.1296999398618936,0.478349975310266,22,0,0,postprocessing,3,fit_on=validation,0.6.1,1.5.2,
