,,,accuracy,accuracy,f1,f1,spd,spd,eod,eod,disparate_impact,disparate_impact,train_time_sec,train_time_sec,single_pred_latency_ms,single_pred_latency_ms,batch_256_latency_ms,batch_256_latency_ms
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,model,method,,,,,,,,,,,,,,,,
adult,lr,baseline,0.8482,0.0026,0.6635,0.0062,-0.1856,0.0065,-0.1021,0.0211,0.2964,0.0173,0.1027,0.0058,0.0444,0.0022,0.2047,0.06
adult,lr,dir,0.8479,0.0022,0.6617,0.0053,-0.1767,0.006,-0.0764,0.0249,0.318,0.017,0.1034,0.0199,0.2031,0.0384,38.477,6.9771
adult,lr,eqodds,0.821,0.0035,0.6066,0.015,-0.092,0.0071,-0.0019,0.0392,0.6126,0.0204,0.1151,0.0122,0.1234,0.0079,0.5403,0.1166
adult,lr,reweighing,0.8416,0.0038,0.6371,0.0089,-0.0866,0.0073,0.1518,0.0191,0.6013,0.0281,0.1037,0.021,0.0468,0.0076,0.2021,0.0686
adult,rf,baseline,0.8418,0.0032,0.6597,0.0073,-0.1882,0.0043,-0.072,0.0184,0.323,0.0101,2.0655,0.1761,2.2291,0.2798,9.1106,1.7064
adult,rf,dir,0.8418,0.0036,0.66,0.0081,-0.1816,0.0042,-0.0529,0.019,0.3432,0.0106,2.0235,0.1435,2.1887,0.0992,40.5847,1.1146
adult,rf,eqodds,0.8137,0.0034,0.6093,0.0158,-0.0893,0.0116,0.0145,0.0385,0.6557,0.0263,2.3546,0.3158,2.5859,0.5703,10.7631,2.9852
adult,rf,reweighing,0.8409,0.0034,0.6556,0.0076,-0.1809,0.0039,-0.0568,0.0177,0.3371,0.0073,2.3311,0.217,2.4007,0.5357,9.9522,2.2952
compas,lr,baseline,0.6669,0.0069,0.6079,0.0116,-0.1647,0.0301,-0.094,0.0464,0.7703,0.0377,0.0429,0.0277,0.0483,0.0035,0.2927,0.0687
compas,lr,dir,0.6692,0.0049,0.6107,0.0084,-0.1245,0.0267,-0.0544,0.0474,0.8196,0.0356,0.0335,0.0063,0.8056,0.0595,194.4041,14.8857
compas,lr,eqodds,0.6336,0.0133,0.5157,0.0314,-0.0166,0.0404,0.0036,0.0333,0.9777,0.0567,0.0321,0.0062,0.1246,0.0057,0.6453,0.0371
compas,lr,reweighing,0.6603,0.0069,0.5977,0.0126,-0.0192,0.0386,0.0322,0.0542,0.9713,0.0619,0.0313,0.0182,0.0461,0.0004,0.3472,0.0506
compas,rf,baseline,0.6497,0.0129,0.6059,0.0143,-0.1558,0.0254,-0.1065,0.0418,0.768,0.0325,0.8714,0.1218,2.3672,0.1997,10.41,0.4106
compas,rf,dir,0.6333,0.0115,0.5952,0.0117,-0.1099,0.0275,-0.0687,0.0398,0.8241,0.0419,0.6413,0.0517,2.7889,0.0448,190.4968,5.9777
compas,rf,eqodds,0.625,0.0154,0.5488,0.0404,-0.0279,0.0417,-0.0098,0.0587,0.9571,0.0664,0.6619,0.0583,2.1885,0.0829,7.6832,0.6155
compas,rf,reweighing,0.6489,0.0097,0.6037,0.0118,-0.1422,0.0272,-0.0912,0.0433,0.7863,0.0365,0.6856,0.0676,2.1052,0.0305,7.4121,0.2064
german,lr,baseline,0.747,0.0232,0.8263,0.0148,-0.1634,0.1076,-0.1243,0.0958,0.7926,0.1383,0.0083,0.0016,0.0486,0.007,0.2331,0.0496
german,lr,dir,0.7485,0.0261,0.8272,0.0171,-0.1108,0.0952,-0.082,0.0879,0.8577,0.1258,0.0086,0.0013,0.3172,0.0198,69.2742,4.6966
german,lr,eqodds,0.65,0.0833,0.7311,0.104,-0.043,0.0943,0.0063,0.1274,0.9353,0.142,0.0129,0.0063,0.1561,0.0498,0.4807,0.1088
german,lr,reweighing,0.7375,0.0218,0.8197,0.0156,-0.0373,0.1136,-0.0357,0.1005,0.9527,0.1491,0.009,0.0016,0.046,0.0007,0.2297,0.0478
german,rf,baseline,0.7515,0.0143,0.8362,0.0103,-0.0931,0.058,-0.0616,0.066,0.8888,0.0687,0.1211,0.0214,2.1922,0.4165,3.6629,0.4954
german,rf,dir,0.7555,0.0198,0.8394,0.0142,-0.0485,0.0478,-0.0323,0.0546,0.9418,0.0577,0.0958,0.0018,2.2059,0.0349,74.0322,8.1027
german,rf,eqodds,0.7025,0.0462,0.7983,0.0362,-0.0389,0.0949,0.0105,0.107,0.9573,0.1205,0.1008,0.0055,2.0399,0.0113,3.5114,0.0425
german,rf,reweighing,0.7545,0.0251,0.8393,0.0166,-0.0404,0.0691,-0.0186,0.0649,0.9527,0.0834,0.1183,0.0217,2.1643,0.2254,4.1458,1.0036
