dataset,model,method,seed,split_seed,model_seed,protected_attribute,privileged_group,unprivileged_group,n_train,n_val,n_test,accuracy,f1,spd,eod,disparate_impact,train_time_sec,single_pred_latency_ms,batch_256_latency_ms,implementation_loc_added,implementation_dependencies_added,implementation_hyperparams,implementation_stage,implementation_complexity_score,method_hyperparams,aif360_version,sklearn_version,notes
adult,lr,baseline,42,42,42,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8528468767274737,0.6735344616139318,-0.17502181879903933,-0.08282177782799183,0.3261770330473302,0.0805037000682205,0.04860013723373413,0.12704997789114714,0,0,1,none,1,"{""C"": 1.0, ""val_acc"": 0.8466386554621849}",0.6.1,1.5.2,tuned_hp
adult,lr,reweighing,42,42,42,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8456605859590934,0.6469398077895802,-0.07977795478251024,0.1458686400783339,0.6292814369086701,0.08278769999742508,0.04279986023902893,0.15404995065182447,6,0,1,preprocessing,2,"{""C"": 1.0, ""val_acc"": 0.8401149933657673}",0.6.1,1.5.2,tuned_hp
adult,lr,dir,42,42,42,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8537313432835821,0.6724436741767764,-0.1667823314703257,-0.06088765864497425,0.3404320492501239,0.35943950014188886,1.52084999717772,3.931199898943305,24,1,3,preprocessing,3,"{""C"": 1.0, ""val_acc"": 0.846859796550199, ""repair_level"": 1.0, ""n_quantiles"": 101}",0.6.1,1.5.2,tuned_hp
adult,lr,eqodds,42,42,42,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8259812050856827,0.6261282660332541,-0.08692619567631701,-0.008260209141465524,0.6463881740175939,0.13507690001279116,0.11199992150068283,0.2553500235080719,22,0,1,postprocessing,3,"{""C"": 1.0, ""val_acc"": 0.8466386554621849}",0.6.1,1.5.2,tuned_hp
adult,rf,baseline,42,42,42,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8581536760641238,0.6663198959687906,-0.1657558365217775,-0.10496616829234612,0.2827036585386439,1.0286916000768542,1.940299989655614,3.6616999423131347,0,0,3,none,1,"{""n_estimators"": 100, ""max_depth"": 10, ""class_weight"": null, ""val_acc"": 0.8550420168067226}",0.6.1,1.5.2,tuned_hp
adult,rf,reweighing,42,42,42,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8500829187396352,0.6387852956846031,-0.0717205183194883,0.1455799093636626,0.6234518616863323,1.125712500186637,1.903749885968864,3.8713000249117613,6,0,3,preprocessing,2,"{""n_estimators"": 100, ""max_depth"": 10, ""class_weight"": null, ""val_acc"": 0.8478549314462627}",0.6.1,1.5.2,tuned_hp
adult,rf,dir,42,42,42,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8528468767274737,0.6520261437908497,-0.15391194265938257,-0.06603773584905659,0.3160215997975328,2.353234499692917,5.494050099514425,11.666899896226823,24,1,5,preprocessing,3,"{""n_estimators"": 200, ""max_depth"": 10, ""class_weight"": null, ""val_acc"": 0.8512826183104821, ""repair_level"": 1.0, ""n_quantiles"": 101}",0.6.1,1.5.2,tuned_hp
adult,rf,eqodds,42,42,42,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8354892205638474,0.606973058637084,-0.08804981785440322,-0.004120689438732561,0.5582315630082284,1.0577378999441862,2.041199943050742,3.8699498400092125,22,0,3,postprocessing,3,"{""n_estimators"": 100, ""max_depth"": 10, ""class_weight"": null, ""val_acc"": 0.8550420168067226}",0.6.1,1.5.2,tuned_hp
adult,lr,baseline,123,123,123,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8448866777224986,0.6577213954623079,-0.1876972844608581,-0.10841838335906806,0.29515398590528946,0.09292609989643097,0.0479499576613307,0.18435006495565176,0,0,1,none,1,"{""C"": 10.0, ""val_acc"": 0.8466386554621849}",0.6.1,1.5.2,tuned_hp
adult,lr,reweighing,123,123,123,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8400221116639027,0.6359748427672955,-0.08170511950215581,0.15724839628918263,0.6254568621019795,0.08125529997050762,0.04309997893869877,0.10659999679774046,6,0,1,preprocessing,2,"{""C"": 1.0, ""val_acc"": 0.8393409995577178}",0.6.1,1.5.2,tuned_hp
adult,lr,dir,123,123,123,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8468767274737424,0.6584463625154131,-0.17948320735398565,-0.10864120814973832,0.3063769214535212,0.2703654000069946,1.6878999304026365,4.554299870505929,24,1,3,preprocessing,3,"{""C"": 0.1, ""val_acc"": 0.8485183547103051, ""repair_level"": 1.0, ""n_quantiles"": 101}",0.6.1,1.5.2,tuned_hp
